SO2,NO2,O3,CO,PM10,PM2.5,total_bad
0.077,0.008,0.023,9.2,236.0,230.0,1
0.008,0.066,0.066,0.6,122.0,44.0,1
0.011000000000000001,0.062,0.096,0.6,180.0,75.0,1
0.006,0.069,0.07,0.5,141.0,74.0,1
0.005,0.062,0.08199999999999999,0.5,90.0,51.0,1
0.004,0.061,0.054000000000000006,0.5,88.0,45.0,1
0.081,0.006999999999999999,0.099,2.2,83.0,985.0,1
0.003,0.067,0.065,0.7,125.0,79.0,1
0.106,0.01,0.084,2.2,1985.0,985.0,1
0.011000000000000001,0.068,0.057999999999999996,0.7,120.0,65.0,1
0.012,0.061,0.064,0.7,142.0,83.0,1
0.01,0.065,0.059000000000000004,0.7,128.0,73.0,1
0.009000000000000001,0.069,0.054000000000000006,0.7,130.0,75.0,1
0.057999999999999996,0.013999999999999999,0.051,2.8,373.0,390.0,1
0.069,0.049,0.07400000000000001,7.4,265.0,284.0,1
0.099,0.01,0.021,11.6,190.0,198.0,1
0.01,0.067,0.062,0.8,124.0,63.0,1
0.012,0.061,0.091,0.9,189.0,89.0,1
0.012,0.062,0.087,0.8,162.0,73.0,1
0.009000000000000001,0.061,0.073,0.8,143.0,68.0,1
0.006999999999999999,0.064,0.057999999999999996,0.8,133.0,55.0,1
0.10400000000000001,0.006999999999999999,0.006,10.4,103.0,68.0,1
0.006,0.063,0.11,0.8,121.0,68.0,1
0.008,0.075,0.075,0.9,123.0,73.0,1
0.11199999999999999,0.005,0.006,11.9,985.0,985.0,1
0.121,0.006,0.027000000000000003,12.1,985.0,985.0,1
0.006999999999999999,0.073,0.053,0.7,127.0,63.0,1
0.011000000000000001,0.086,0.075,0.7,159.0,86.0,1
0.01,0.083,0.077,0.7,193.0,87.0,1
0.009000000000000001,0.079,0.065,0.7,174.0,80.0,1
0.006,0.061,0.055,0.7,169.0,105.0,1
0.057999999999999996,0.031,0.055,2.7,234.0,227.0,1
